Question,Choice1,Choice2,Choice3,Answer
애니메이션 미키마우스와 미니마우스의 성우(웨인 올와인&루시 테일러)의 관계는?,소꿉친구,친척,부부,3
관용구 <귀신 OOO까먹는 소리>에서 빈 칸에 들어갈 올바른 표기는?,씻나락,씬나락,씨나락,1
윷놀이에서 '윷'이 상징하는 동물은?,개,말,소,3
"스피노자 왈! ""내일 지구의 종말이 와도 나는 한 그루의 OOOO를 심겠다."" 빈 칸은?",사과나무,벚꽃나무,대나무,1
금속탐지기를 이용하여 숨어있는 금속을 찾는 취미를 일컫는 말은?,금속탐지,도굴,점유이탈물횡령,1
"""관광객 오지마!"" 여행지의 원주민들이 관광객을 두려워하는 현상은?",이상한 현상,투어리즘 포비아,초자연 현상,2
"정부가 국민의 노령, 장애 또는 사망에 대하여 연금급여를 주는 제도는?",사학연금,개인연금,국민연금,3
다음 중 미국이 우리나라를 침략했던 사건은?,병인양요,신미양요,임오군란,2
지구가 아닌 천체를 사람이 살 수 있는 환경으로 만드는 것을 일컫는 말은?,테라포밍,체인지업,그린벨트,1
아침에 일어났을 때 기분이 무겁고 피곤해 아무것도 하기 싫은 증후군은?,해리성 장애,조간 증후군,과잉 적응 증후군,2
자라 보고 놀란 가슴 솥뚜껑 보고 놀라는 상황을 뜻하는 말은?,무조건 반사,조건 반사,무지개 반사,2
전화금융사기 '보이스피싱'을 영어로 하면?,Voice Phishing,Voice Fishing,Voice Pcing,1
존 케이지가 작곡한 '아무 연주도 하지 않는' 피아노 곡의 제목은?,1분 23초,3분 21초,4분 33초,3
야외에서 밥을 먹으며 소풍하는 것을 뜻하는 단어는?,피크닉,핑크퐁,클리닉,1
스페인 전통임식인 '빠에야'를 요리하는 팬의 이름이 아닌 것은?,빠에야,뿜뿜 뿜빠야,빠에예라,2
17세기 샴페인 생산에 큰 기여를 한 전설적인 수도사는?,상피뉴,돔 페리뇽,돈 스파이크,2
향기가 '후추'의 톡 쏘는 성질과 닮았다고 알려진 것은?,로즈마리,애플민트,페퍼민트,3
다음 중 코카콜라를 공식적으로 판매하지 않는 나라는?,중국,북한,러시아,2
모짜렐라 치즈는 전통적으로 '이것'의 젖으로 만들었다고 한다. '이것'은?,산양,물소,사슴,2
다음 중 식품이 아닌 약품으로 먼저 대중화가 된 음료는?,와인,레모네이드,초코우유,3
다음 중 사우디아라비아가 수입할 필요가 없는 것은?,모래,원유,낙타,2
우리나라 수제비와 비슷한 이탈리아의 전통 요리는?,뇨끼,뼁끼,예끼,1
다음 중 가장 오래된 영단어는?,패셔너블,퀴즈,블링블링,1
다음 중 현재 한국에서 직항으로 갈 수 없는 곳은?,사할린,리우데자네이루,아디스아바바,2
"북한에서 농구를 할 때 ""패스해!""를 뭐라고 할까?",연결해!,연장해!,연락해!,3
다음 중 국내 항공법 상 통행 우선순위가 가장 높은 항공기는?,여객기,헬리콥터,열기구,3
속눈썹이 짙고 길어 보이도록 칠하는 화장품의 표준어는?,마! 스까라,마스카라,마다가스카르,2
다음 중 신고 기한이 지나도 과태료를 물지 않는 것은?,출생신고,혼인신고,사망신고,2
제주도로 '식도락 여행'을 떠난 김모씨가 먹으면 안되는 음식은?,제주산 주상절리,제주산 갈치,제주산 말고기,1
"아시아', '토마토', '일요일' 처럼 거꾸로 해도 같은 말을 부르는 용어는?",동문,회문,반문,2
"1열, 3열, 5열처럼 '홀수가 되는 열'을 의미하는 단어는?",낱열,홑열,기열,3
로봇의 모습이 사람과 비슷해질수록 호감이 거부감으로 바뀐다는 이론은?,불쾌한 골짜기,불안한 협곡,우울한 계곡,1
"지능이 일찍 발달한 어린이들이, 말하는 능력은 늦게 발달하는 현상은?",피카소 증후군,모차르트 증후군,아인슈타인 증후군,3
동화 <어린왕자>에서 말을 하는 동물이 아닌 것은?,여우,코끼리,뱀,2
다음 중 '덥고 긴 여름날'을 지칭하는 영어권 용어는?,개의 날,고양이의 날,소의 날,1
다음 중 여의도보다 작은 나라는?,모나코,몰디브,몰타,1
표준시를 한 시간 앞당기는 '서머타임'은 유럽에서 몇월부터 시작될까?,3월,5월,7월,1
"반려동물을 키우지는 않지만, 콘텐츠를 통해 반려동물 문화를 즐기는 사람은?",뷰니멀족,눈 사람,무정한 사람,1
수면에 어려움을 겪는 상태를 부르는 말은?,수면장애,수영장,핵꿀잠,1
양심적 병역거부자를 위한 복무제도는 무엇일까?,징역,군면제,대체복무제,3
제주도는 여행객에게 세금을 받는 정책을 추진한다고 한다. 이 세금은?,상륙세,입도세,입장료,2
다음 중 '소수(Prime number)'가 아닌 것은?,1,2,3,1
다음 중 조선시대에 '커피'를 부르던 말은?,검은탕,고삐,양탕국,3
미국에서 휘발유 3갤런은 몇리터일까?,약 11리터,약 18리터,약 25리터,1
유교의 기본 경전인 '사서삼경' 중 '삼경'에 속하지 않는 것은?,서경,주역,대학,3
다음 중 포함된 한자 '사'의 뜻이 다른 단어는?,사육신,사필귀정,생사여부,2
다음 중 자신의 남매와 결혼한 그리스 신화의 신은?,아폴론,제우스,하데스,2
고속도로에서 일어나는 원인모를 교통정체를 부르는 말은?,미스터리 정체,유령 정체,바보 정체,2
다음 중 '버뮤다 삼각지대'의 꼭짓점에 해당하지 않는 것은?,플로리다,푸에트리코,하바나,3
빨갛던 삼겹살을 구우면 '이 반응'에 의하여 갈색이 된다. 무엇일까?,과민 반응,마이야르 반응,거부 반응,2
"다음 중 마약 탐지, 인명 구조, 범인 추적을 할 수 있는 동물은?",게,반달가슴곰,개,3
흡연이 불법인 비행기 내부에 재떨이가 설치된 장소가 있다. 어디일까?,화장실,승무원 침실,조종실,1
다음 중 '만 23세 나이 제한'이 있는 축구 경기가 아닌 것은?,올림픽 축구,AFC 아시안컵,아시안게임 축구,2
보행자 안전을 위한 '생활도로구역'의 자동차 제한 속도 기준은?,시속 20km,시속 30km,시속 40km,2
"페루에 있는 세계문화유산으로, 땅 위에 그려진 가장 큰 그림은?",아레키파 지상화,나스카 지상화,리마 지상화,2
다음 중 영토가 적도에 걸쳐있는 나라는?,적도기니,나이지리아,브라질,3
"""달 달 무슨 달, OO같이 둥근 달"" 빈칸에 알맞은 동요 '달'의 가사는?",감쪽,쟁반,악착,2
다음 중 사람의 손으로 길들인 매를 부르는 말은?,수지니,고으니,니코니코니~,1
"자동차 튜닝의 종류로, 사고를 유발하고 범죄에 이용될 수 있는 '이것'은?",불법 태닝,불법 시술,불법 선팅,3
다음 중 국내에 없는 전봇대는?,직선형 전봇대,나선형 전봇대,곡선형 전봇대,2
학생 참여형 수업과 시험없는 학기로 운영되는 중학교 교육과정은?,자유학기제,자율전공제,방과 후 학교,1
다음 중 수컷 호랑이와 암사자에게서 태어난 동물은?,타이언,라이거,타이곤,3
1999년 종말론'을 주장한 예언가는?,노가리,노스트라다무스,노라조,2
숙면을 위해 돈을 지출하는 현대인이 늘어나면서 성장하고 있는 산업은?,슬리포노믹스,슬리퍼신어,슬슬가자,1
한국을 세계 경제에 '밝은 미래'를 가져다 줄 국가란 뜻으로 사용한 말은?,미스 코리아,미스터 선샤인,미스터 리,2
아르헨티나 탱고음악 연주에 주로 사용되는 작은 손풍금의 이름은?,반도네온,가야금,멜로디언,1
다음 중 같은 음식이 아닌 것은?,지짐이,전병,전어,3
다음 중 시간대가 다른 한 도시는?,호치민,방콕,세부,3
보는 순간 시선을 끌고 화젯거리가 되는 제품이나 서비스를 가리키는 말은?,퍼플카우,레드오션,블루슈머,1
다음 오페라 중 작곡자가 다른 작품은?,피가로의 결혼,투란도트,나비부인,1
주한 미군사령부가 73년만에 어디에서 어디로 이전했나?,평택에서 용산,동두천에서 평택,용산에서 평택,3
"동요 <햇빛은 쨍쨍>에서 ""햇볕은 쨍쨍, OOO은(는) 반짝"" 빈칸에 알맞은 가사는?",금니,모래알,인기,2
2018년 하반기부터 '이것'을 마시고 자전거를 운전하면 처벌 받는다. 이것은?,공기,물,술,3
요즘은 스크린을 통해 실내에서도 스포츠를 즐길 수 있다. 해당되지 않는 것은?,스크린 수영,스크린 골프,스크린 야구,1
"마음의 감기'라고 불리며 불면증, 식욕저하, 지나친 죄책감을 느끼는 병은?",우울증,조현병,공황장애,1
세계적인 유적지 '앙코르와트'는 최근 '이것'으로 고통받고 있다. 이것은?,쓰레기,모기,비행기 소음,1
"<창방조생, 천흥, 대구보>는 어떤 과일의 품종일까?",살구,복숭아,자두,2
카카오프렌즈의 인기 캐릭터 '라이언'의 직책은?,대리,상무,전무,3
다음 중 '추리소설의 아버지'로 불리는 사람은?,아서 코난 도일,에드가 앨런 포,에밀 가보리오,2
피아노 연습곡으로 유명한 '체르니'는?,베토벤의 제자,모차르트의 고향,하이든의 아들,1
불멸의 세포로 많은 연구에 사용되는 '헨리에타 렉스의 암세포'는?,에타 세포,헬라 세포,렉스 세포,2
"꿈의 신소재라 불리며, 세상에서 가장 얇은 두께의 물질은?",그래핀,광섬유,나노,1
"영어로 ""Pay attention!""은 우리말로 외치면 무엇이 될까?",주모~!,주먹!,주목!,3
다음 중 일본어 '소데나시'의 줄임말 '나시'로 불리는 옷은?,민소매,후추,민머리,1
존재감이 없거나 미미한 사람을 사물에 비유해서 부르는 말은?,미친 존재감,병풍,분위기 메이커,2
1995년에 일어났던 삼풍백화점 붕괴사고의 원인은?,"설계, 시공, 관리의 부실",테러,지진,1
전통적으로 제사나 혼례에서 사용해온 '놋쇠'로 만든 그릇은?,사기그릇,질그릇,유기그릇,3
"2002년, 월드컵 열기에 잊혀졌던 연평도 해상에서 일어난 전투는?",제1연평해전,제2연평해전,연평도전투,2
양심에 따라 불법행위나 비리를 고발하는 '내부고발자'와 같은 말이 아닌 것은?,휘슬블로어,더블딥,딥스로트,2
다음 중 닭이 낳은 알 '달걀'의 한자어로 틀린 것은?,계양,계단,계자,1
"아랍어로 통치자를 뜻하며, 터키 에도르안 대통령이 재선출되며 부각된 이 단어는?",술탄,물탄,약탄,1
K팝 걸그룹 최초로 빌보드 메인차트 2개에 동시 진입한 그룹은?,원더걸스,방탄소년단,블랙핑크,3
노선버스 근로환경 개선을 위해 정부가 전국확대를 추진하려는 방안은?,버스준공영제,광역버스제,버스노선강화제,1
매우 적은 양으로 물질 대사나 생리기능을 조절하는 필수적인 영양소는?,우라늄,플루토늄,비타민,3
영국 애니메이션 <토마스와 친구들>의 주인공 토마스는?,우주선,기관차,전기차,2
우리나라 최초의 철도는?,경인선,경부선,경강선,1
다음 중 물을 퍼붓듯이 세게 내리는 비를 부르는 말은?,박수,악수,깍지,2
미니 축구 '풋살'은 한팀이 몇 명이서 하는 경기일까?,5명,7명,8명,1
영어 'Bo Peep Bo Peep'을 우리말로 표현했을때 가장 적절한 것은?,뛰뛰! 빵빵!,삐뽀~삐뽀~,우르르 까꿍~!,3
제주도의 상징! 돌하르방의 재료는?,현무암,전현무,주작암,1
근위병 교대식으로 유명한 런던의 궁전 이름은?,버스킹,버킹엄,버거킹,2
"문화체육관광부 기준, 2018년 국민 80%가 선택한 여름 휴가지는?",국내,방콕,북한,1
국내 호텔에서 휴가를 보내는 것을 뜻하는 신조어는?,몰캉스,바캉스,호캉스,3
나라와 대표 관광명소가 잘못 연결된 것은?,체코-프라하성,로마-콜로세움,스위스-샹젤리제,3
다음 중 관세가 면제된 상품에 붙어있는 마크는?,듀티프리,택스프리,알콜프리,1
2018년 여행을 가기위해 비자가 필요한 곳은?,중국,홍콩,필리핀,1
대한민국 성인이면 이용 가능한 국내 기차패스는?,내일로,하나로,문화로,2
4대 문명 발상지의 국가에 있는 명소가 아닌 것은?,피라미드,티티카카 호수,모헨조다로 유적,2
뽑기'로도 불리는 설탕을 녹인 다음 소다를 넣어 만든 과자는?,달구나,달고나,달짝지근하구나,2
과중한 업무로 질병이 악화되어 사망에 이르는 것을 뜻하는 사회적 용어는?,호상,우루사,과로사,3
다음 중 평균적으로 가장 잠을 적게 자는 동물은?,코알라,나무늘보,기린,3
다음 중 범죄를 해결하는 데 있어서의 결정적인 증거를 일컫는 말은?,두루마리,스모킹 건,심증,2
임대료가 올라 원주민이 떠나는 '젠트리피케이션'의 순화어는?,둥지 내몰림,둥지 떠남이,둥지 빼앗기,1
자동차 급제동 시 바퀴가 잠기는 현상을 방지하기 위한 시스템은?,EBD,ECS,ABS,3
2017년 병역회피 수법으로 가장 많이 사용된 방법은?,고의 체중 조절,정신질환 위장,고의 문신,1
"국내 화폐중 가장 짧게 유통된 화폐, 100환권에 그려진 그림은?",아빠와 아들,엄마와 아들,엄마와 두 딸,2
다음 중 '소개팅'에 해당되는 영어 단어는?,커튼 데이트,카펫 데이트,블라인드 데이트,3
소비자 불매운동을 뜻하는 '보이콧'은 어디에서 유래된 말일까?,법안명,사람 이름,기업 이름,2
"닭과 인삼, 대추, 찹쌀 등을 넣어 만드는 여름 보양식은?",진흙탕,삼계탕,남녀혼탕,2
제주도에서 밥과 누룩을 담가 만들어 먹는 여름철 음료는?,흰다리,쉰다리,꺽다리,2
"뉴스에서 날씨에 관한 정보를 수집, 전달하는 역할을 하는 직업은?",취침캐스터,캐스터네츠,기상캐스터,3
단말기를 설치하면 주행 중 자동으로 통행료가 결제되는 시스템은?,하이패스,스루패스,노룩패스,1
국회의원이 사용처를 밝히지 않고 쓸 수 있도록 나라에서 지급받는 경비는?,특수활동비,뇌물,용돈,1
하천이 범람하여 주변 지역에 피해를 입히는 자연재해는?,산사태,홍수,가뭄,2
"""비가오면 생각나는 그사람""으로 시작하는 심수봉의 노래는?",그 막걸리집,백만송이 장미,그때 그 사람,3
"사르트르의 명언 ""인생은 'B'와 'D'사이의 'C'다."" 에서 풀이가 알맞은 알파벳은?",B -Birth,D - Dollar,C - Chocolate,1
다음 중 농작물에 피해를 입히는 벌레는?,응애,꽃등에,누에,1
보기의 인물들은 사제관계로 맺어져 있다. 가장 스승은 누구일까?,소크라테스,아리스토텔레스,플라톤,1
안개비보다는 조금 굵고 이슬비보다는 가는 비를 부르는 말은?,개비,는개,촉비,2
스페인에서 식사 전 술과 곁들여 간단히 먹는 음식을 이르는 말은?,치토스,타파스,코파스,2
회사도 집도 잊고 떠나고 싶은 충동이 드는것을 '( )증후군'이라고 한다. 빈칸은?,정신가출,멍때리기,유체이탈,1
다음 중 현재 유로화가 국가 화폐가 아닌 나라는?,프랑스,독일,영국,3
다음 중 미국을 배경으로 한 뮤지컬은?,토요일 밤의 열기,오페라의 유령,빌리 엘리어트,1
사과향이 나서 '땅에서 나는 사과'라고 불리는 허브는?,라벤더,히비스커스,카모마일,3
치아의 통증을 뜻하는 '치통'의 북한어는?,이뽑기,이쑤시기,이쏘기,3
6.25 전쟁을 일으켜 동족상잔의 비극을 만든 사람은?,김일성,김정일,김정은,1
연예인들이 군대를 직접 체험하는 예능 프로그램은?,진짜 사나?,트와이스 사나,진짜 사나이,2
다음 중 나무에서 열리는 열매가 아닌 것은?,치자,구기자,피자,3
30대에도 회사에서 퇴직을 강요당하는 현실을 반영한 신조어는?,휴전선,38선,낙동강 방어선,2
똑바로 누워서 하는 수영은 배영! 옆으로 누워서 수영하는 영법은?,횡영,입영,반배영,1
6.25 전쟁이 발발한 시대를 배경으로 한 영화가 아닌 것은?,태극기 휘날리며,웰컴투 동막골,실미도,3
인천상륙작전'을 주도한 맥아더 장군이 즐겨 썻던 선글라스의 브랜드는?,레이벤,지방시,폴리스,1
독립국가를 주장하지만 다른 나라들로부터 인정받지 못한 집단을 일컫는 말은?,메세나폴리스,인디펜던스캐피탈,마이크로네이션,3
월드컵 개최를 담당하고 있는 국제축구연맹의 약자는?,피파,코파,도파,1
다음 중 불어로 안녕하세요 라는 뜻의 인사말은?,봉쥬르,봉만대,봉잡아,1
다음 중 한 나라의 수도가 아닌 곳은?,파리,로마,이스탄불,3
다음 중 마블코믹스 소속 히어로가 아닌 인물은?,아이언맨,슈퍼맨,헐크,2
전세계 지진과 화산활동이 대부분 일어나는 '불의고리'에 속하는 나라는?,알래스카,영국,남아프리카공화국,1
월트 디즈니의 캐릭터 곰돌이 푸의 성별은?,남성,중성,여성,3
땅을 파거나 깍을 때 사용되는 건설 기계는?,포크레인,스푼레인,나이프레인,1
국내 고속도로에서 도로교통법 위반 행위를 불시에 단속하는 순찰차는?,암행 순찰차,쾌걸조로 순찰차,배트맨 순찰차,1
다수가 한 집에 살면서 개인적인 공간은 따로 사용하는 주거 양식은?,땅콩하우스,게스트하우스,셰어하우스,3
전기자동차와 수소연료전지자동차의 번호판 배경 색깔은?,붉은색,하늘색,초록색,2
다음 중 특산품 앞에 붙은 이름이 지명이 아닌 것은?,상주 곶감,풍천 장어,단양 마을,2
다음 중 외래어가 아닌 것은?,댐,비닐,헹가래,3
다음 중 한자의 뜻이 다른 '문'은?,신문,의문,학문,1
답답했던 상황이 통쾌하게 진행 될 경우 쓰이는 인터넷 유행어는?,고구마,감자,사이다,3
몸의 중심 부위를 강화시키는 운동을 부르는 말은?,새마을 운동,코어 운동,성서 이곡동,2
트럼프 카드에서 보기 중 색깔이 다른 하나는?,스페이드,다이아몬드,클로버,2
매장에서 상품을 보고 구매는 인터넷으로 하는 사람들을 일컫는 신조어는?,쇼루밍족,그루밍족,프로슈머,1
강아지들이 불안함을 느낄 때 보내는 몸짓 언어를 부르는 말은?,카밍 시그널,블랙 라이트,바디 하울링,1
제주도에서 산을 부르는 말 오름!  다음 중 제주도엥 없는 오름은?,물오름,소소름,대오름,3
뮤지컬 최초로 노벨문학상을 받은 미국의 싱어송라이터는?,밥 달라,밥 드려,밥 딜런,3
소송에 있어 원고의 청구를 이유가 없다고 하여 배척하는 판결은?,기각,항소,상소,1
20년에 걸쳐 보수 정비를 마친 국내 최고령 석탑은?,경주 분황사 석탑,익산 미륵사지 석탑,불국사 다보탑,2
야구에서 '안방 마님'으로 불리는 포지션은?,포수,감독의 아내,구단주의 부인,1
속담 '까마귀 고기를 먹었냐?'는 어떤 사람에게 쓰는 말일까?,까마귀를 먹은 사람,건망증이 심한 사람,오골계를 키우는 사람,2
2002년 월드컵에서 히딩크 감독이 했던 '골 세레머니'는?,어퍼컷,공중제비,손가락 흔들고 호우!,1
다음 중 자외선 노출이 원인이 되는 질환은?,건선,아토피 피부염,피부암,3
남반구에서 '1년중 밤이 가장 긴 날'은 우리나라 절기로 언제일까?,하지,입춘,동지,1
건강한 식단과 식비 절감을 위해 '1주일 치 식사를 미리 준비하는 방법'은?,비포어핸드,디톡스,밀프렙,3
코뿔소의 '뿔'은 원래 무엇일까?,뼈,피부,이빨,2
이동식 기억장치 'USB'에서 B는 무엇의 약자일까?,Board,Bus,Booting,2
피사의 사탑이 기울어져있는 이유는?,설계를 기울게 해서,지반이 불균형 해서,관광객이 밀어서,2
다음 중 발명왕 에디슨이 말한 '가장 어리석고 못난 변명'은?,돈이 없어서,재능이 없어서,시간이 없어서,3
백설공주가 깊은 잠에 빠지게 된 이유는?,윽;; 독사과를 먹어서,점심에 과식을해서,어젯밤 너무 달려서,1
출입문에 쓰여있는 '미세요'의 올바른 영어 단어는?,PUSH,PULL,PASS,1
스마트폰을 비롯한 모바일 기기에 익숙한 세대를 무엇이라 부를까?,5G세대,모모 세대,무브 제네레이션,2
일과 가정의 조화를 위해 탄력적인 근무를 하는 정규직 노동자를 일컫는 말은?,그레이칼라,그린칼라,퍼플칼라,3
다음 중 짐승의 수컷을 뜻하는 올바른 말은?,수놈,순놈,숫놈,1
속담 '외모는 거울로 보고 마음은 ( )(으)로 본다'에서 빈칸은?,술,말,성격,1
다음 주민등록번호를 가진 사람중에서 가장 먼저 태어난 사람은?,******-1261833,******-3261833,******-9261833,3
현역 군인은 전역한 다음 해부터 8년동안 '( )'에 편성된다. 빈칸은?,게릴라군,예비군,반란군,2
소설 <해리포터>에서 해리의 이마에 있는 번개모양은 무엇일까?,문신,점,흉터,3
자국에서의 박해를 피해 다른 곳으로 탈출하는 사람은?,난민,양민,인민,1
달리기 운동 '조깅'을 영어로 하면?,Jogging,Morning Run,Slow Run,1
더치페이(Dutch Pay)'의 우리말 순화어는?,반반 내기,각자 내기,나눠 내기,2
손을 쓰지 않고도 콧구멍을 자유자재로 닫을 수 있는 동물은?,하마,스컹크,고릴라,1
포도나 자두 표면의 흰 가루를 먹으면 어떻게 될까?,죽는다,달다,아프다,2
가까운 곳이 잘 안보이는 사람이 쓰는 안경의 렌즈는?,오목렌즈,볼록렌즈,평렌즈,2
다음 디즈니 애니메이션 여성 캐릭터 중 20대는?,신데렐라,라푼젤,엘사,3
축구용어 '해트트릭'은 어느 스포츠 종목에서 비롯되었을까?,크리켓,테니스,골프,1
누구에게나 친절한 사람'을 가리키는 중국의 신조어는?,중앙 에어컨,공기 청정기,공용 컴퓨터,1
다음 중 '아우'의 높임말로 옳은 것은?,아우 진짜,아우님,아우야,2
운동하고 있는 기계의 속도를 감속하거나 정지시키는 장치는?,브레이크,엑셀레이트,ABS,1
캐릭터들을 축소해 재현한 인형인 '피규어'의 올바른 표기는?,피겨,피그렛,픽미업,1
한 명을 위한 최소한의 공간을 제공하는 저렴한 호텔은?,캡슐 호텔,포켓 호텔,비즈니스 호텔,1
허벅지 뒤쪽 부분의 근육과 힘줄인 '햄스트링'의 기능이 아닌 것은?,속도 감속,방향 전환,폐활량 상승,3
다음 중 우리나라에 없는 도로교통 안전표지판은?,노인 보호,자전거 횡단도,드론 전용구간,3
"동요 ""OOOO OOOO 으쓱 으쓱""에서 빈칸에 들어갈 말은?",달랑달랑,딸랑딸랑,짤랑짤랑,3
딸의 남편인 '사위'를 나타내는 말로 옳은 것은?,백년손님,단골손님,진상손님,1
속담 입은 삐뚤어져도 ( )은/는 바로 해라' 빈칸에 알맞은 말은?,코,말,혀,2
양치를 매일 해도 생기는 '치석'을 제거하는 시술은?,스케일링,치아미백,임플란트,1
가수의 뒤에서 보조적으로 노래를 부르는 사람은?,매니저,코러스,백댄서,2
지역의 옛 이름과 현재 이름이 잘못 짝지어진 것은?,달구벌-대구,한밭-대전,서라벌-광주,3
"영화, 드라마의 감독이 '자신의 분신으로 생각하는 배우'를 일컫는 말은?",페르소나,뮤즈,메소드,1
2018 월드컵에 적용되는 '비디오 판독 시스템'을 부르는 용어는?,VR,VAR,VCR,2
기도를 할 때 말하는 '아멘'은 무슨 뜻일까?,믿습니다,구원해주소서,찬양하라,1
정보에 쉽게 접근하게 해주는 'QR코드'의 'QR'은 무엇의 약자일까?,Quick Reallity,Quick Response,Quice Reaction,2
다음 중 알을 낳은 다음 새끼를 부화시키는 뱀은?,살모사,아나콘다,꽃뱀,3
"방송전파의 통신로를 말하며, ""OO 고정!""의 빈칸의 들어갈 말은?",노리쇠 후퇴,시선,채널,3
"<우주를 줄게, 썸 탈꺼야, 여행>을 부른 가수는?",볼빨간 김춘기,빨간볼 사춘기,볼빨간 사춘기,3
2006년 독일 월드컵에서 '꼭짓점 댄스'로 열풍을 일으킨 연예인은?,싸이,김수로,윤도현,2
다음 중 연예인 가족으로 틀리게 짝지어진 것은?,엄앵란&엄정화,배성우&배성재,션&정혜영,1
다음 중 나이가 다른 연예인은?,박명수,강호동,김용만,3
국내 최초로 TV에서 방송된 일일 연속극은?,전원일기,눈이 나리는데,결혼행진곡,2
단오는 여자는 창포물로 머리를 감고 남자는 '이것'을 하는 명절이다. 이것은?,말싸움,윷놀이,씨름,3
스포츠는 흔히 '( )'로 불린다. 빈칸에 알맞은 말은?,각본 없는 드라마,짜고 치는 고스톱,안 봐도 비디오,1
달리기 경기에서 '페이스 메이커'는 어떤 사람일까?,팀의 최고 에이스,선두를 이끄는 사람,출발이 가장 빠른 사람,2
"다른 사람이 보고 있을 때, 행동에 영향을 받는 일을 말하는 심리 효과는?",관중효과,군중심리,집단지성,1
조선시대 하급 관리를 채용하기 위해 실시한 시험은?,취재,보도,중계,1
밤 최저기온 몇 도를 기준으로 '열대야'라고 말할까?,25도,27도,29도,1
스펙을 쌓는다'고 말할 때 '스펙'은 어떤 영어에서 나온 말일까?,범위(spectrum),설명(specification),특별한(special),2
차례나 방향이 반대인 것을 뜻하는 말'중 표준어가 아닌 것은?,가꾸로,까꾸로,꺼꾸로,3
스트리트 댄스의 장르가 아닌 것은?,왁킹,로킹,쇼킹,3
말이나 행동을 일부러 분명하게 하지 않는 모양을 나타내는 말로 틀린 것은?,어물쩍,어물쩡,우물쩍,2
다음 중 포함된 한자 '미'의 의미가 다른 것은?,미인,미식가,미소,3
겜블링 게임에서 사기꾼의 희생자를 지칭하는 말은?,랍스터,치킨,쉬림프,1
"""떠나요~둘이서~모든 것 훌훌 버리고""의 노래 제목은?",제주도 푸른 밤,여수 밤바다,신혼여행,1
충남 보령에서는 <OO 축제>가 유명하다. OO에 들어갈 말은?,녹차,빙어,머드,3
제주 서귀포의 <권지용숲>은 지드래곤의 무엇을 기념하여 조성된 것일까??,데뷔일,팬클럽창단일,생일,3
지명을 붙인 명칭으로 현재는 멸종된 개의 품종은?,진돗개,거제개,풍산개,2
"<경계이자 고개, 양희은, 차가운 시내>로 연상되는 지명은?",대관령,미시령,한계령,3
다음 중 경기도 화성시에 있는 지명은?,안녕동,인사동,예의리,1
1인당 지역 총소득이 가장 높은 곳은?,서울특별시,울산광역시,부산광역시,2
물이 맑고 잔잔하여 못과 같았던 데서 유래된 '청숫골'의 현재 지명은?,서울시 강남구 청담동,강원도 속초시 청학동,제주도 한경면 청수리,1
동화 '미운 오리 새끼'의 주인공 오리는 어떤 동물이었나?,청둥오리,백조,가오리,2
"고려시대 특권으로, 관리의 자녀는 시험보지 않고 등용했던 제도는?",음서 제도,과거 제도,기인 제도,1
질서 있고 평화롭지만 열정적으로 응원하는 덴마크의 축구 관람 문화는?,홀리건,롤리건,콜리건,2
다음 중 멕시코 여행을 가서 볼 수 없는 것은?,피라미드,핑크라군,알무데나 대성당,3
다음 중 자식이 커서 부모를 봉양하는 일을 뜻하는 말은?,대갚음,안갚음,앙갚음,2
2018년 한국인 부모에게서 태어난 아이는 이름을 몇 글자까지 만들 수 있을까?,5자,10자,무제한,1
아프리카의 '어린이날'은 언제일까?,4월16일,5월16일,6월16일,3
우리나라의 가장 많은 성씨는 '김'씨! 그렇다면 다음 3개 순서는?,이>박>최,이>최>박,박>이>최,1
회사의 가축처럼 일하는 직장인'이라는 뜻의 신조어는?,잡축,사축,일축,2
다음 중 국내 대학교에 존재하는 학과가 아닌 것은?,얼굴경영학과,감귤포장학과,북한학과,2
다음 중 혀의 '통각'으로 느낄 수 있는 맛은?,짠맛,감칠맛,매운맛,3
다음 중 사람의 이름을 붙인 명칭이 아닌 것은?,나박김치,숙주나물,임연수어,1
글을 잘 이해하는 지혜를 이르는 말'이라는 뜻의 순우리말은?,글구멍,글머리,글주변,1
감기를 가리키는 순우리말은?,고뿔소,개뿔,고뿔,3
이란의 수도는?,테헤란,저그,프로토스,1
"속담 ""시장이 반찬""에서 '시장'과 같은 의미를 갖는 것은?",배고픔,박원순,남대문 시장,1
인건비가 오름에 따라 사용량이 많아지고 있는 무인 단말기는?,모뎀,키오스크,라우터,2
"피로회복제의 주성분으로 오징어, 문어에 많이 들어있는 것은?",카페인,타우린,키토산,2
아프리카 열대우림에 사는 평균 키 150cm의 난쟁이 부족은?,마사이족,피그미족,마오리족,2
스페인어 '베사메무쵸'의 뜻은?,우리 춤 출까요,꽉 안아줘,뽀뽀 많이 해줘,3
세계에서 가장 큰 공룡은?,아르젠티노사우르스,암피코엘리아스,티라노사우르스,1
궁둥이는 어느 부위를 말할까?,볼기의 윗부분,볼기의 중간부분,볼기의 아랫부분,3
야구에서 투수와 포수를 합쳐 부르는 말은?,배터리,마운드 2인조,충전기,1
올챙이가 개구리로 성장할 때 가장 먼저 생기는 부위는?,뒷다리,가운데다리,앞다리,1
사람의 몸에서 물이 차지하는 비율은?,약 50%,약 70%,약 90%,2
다음 중 1급수에만 사는 생물은?,피라미,쉬리,버들치,3
